bookId,chapters,units,passed,failed,passRate,check_pct_narrative.decision_point,check_pct_narrative.named_protagonist,check_pct_narrative.specific_scene,check_pct_pedagogy.card_tests_retrieval,check_pct_pedagogy.quiz_tests_application,check_pct_register.no_banned_phrase,check_pct_register.no_chapter_number_literal,check_pct_register.no_meta_reference,check_pct_schema.answer_position_balance,check_pct_schema.bloom_vocabulary,check_pct_schema.enum_validity
essentialism,20,520,74,446,14.2,0.8,55.0,53.3,98.0,2.0,95.8,91.6,11.6,0.0,100.0,0.0
predictably-irrational,13,335,108,227,32.2,16.7,66.7,24.4,100.0,0.8,97.8,83.4,51.4,23.1,100.0,0.0
the-power-of-habit,9,232,81,151,34.9,25.9,77.8,40.7,91.1,8.9,98.7,72.4,54.4,22.2,100.0,0.0
indistractable,30,780,288,492,36.9,0.6,81.7,0.6,90.7,7.3,97.2,84.7,43.5,0.0,100.0,0.0
the-like-switch,8,205,78,127,38.0,25.0,100.0,2.1,92.5,15.0,98.0,85.0,40.8,37.5,100.0,0.0
the-hard-thing-about-hard-things,10,254,100,154,39.4,11.7,100.0,25.0,88.0,18.0,97.6,82.4,45.3,60.0,100.0,0.0
influence,9,233,93,140,39.9,29.6,100.0,11.1,93.3,17.8,99.1,68.4,56.1,11.1,0.0,0.0
the-48-laws-of-power,48,1201,507,694,42.2,31.9,81.6,11.1,100.0,2.3,99.2,86.5,62.8,97.9,0.0,0.0
how-to-talk-to-anyone,9,231,100,131,43.3,24.1,100.0,14.8,97.8,15.6,97.3,100.0,48.5,33.3,0.0,0.0
the-courage-to-be-disliked,5,128,56,72,43.8,20.0,100.0,26.7,84.0,22.0,94.4,100.0,27.4,40.0,100.0,80.0
never-split-the-difference,10,255,112,143,43.9,28.3,100.0,8.3,90.0,11.0,97.6,66.8,69.5,50.0,0.0,0.0
getting-things-done,13,334,151,183,45.2,3.8,100.0,10.3,92.3,19.2,98.8,76.0,66.0,30.8,100.0,0.0
the-12-week-year,21,540,247,293,45.7,13.5,100.0,5.6,81.9,7.6,95.2,63.8,59.1,28.6,17.1,0.0
superforecasting,12,308,142,166,46.1,9.7,100.0,1.4,91.7,5.8,98.0,79.3,57.0,33.3,24.2,0.0
smarter-faster-better,8,204,95,109,46.6,2.1,100.0,6.3,97.5,17.5,97.5,100.0,35.5,50.0,35.0,0.0
you-can't-hurt-me,11,285,133,152,46.7,3.0,60.6,0.0,80.0,22.7,95.3,74.2,44.5,9.1,100.0,0.0
made-to-stick,6,153,72,81,47.1,8.3,100.0,19.4,96.7,25.0,97.3,100.0,31.6,50.0,100.0,0.0
the-almanack-of-naval-ravikant,6,155,73,82,47.1,22.2,100.0,38.9,93.3,26.7,95.3,98.0,32.5,16.7,100.0,0.0
ultralearning,14,363,173,190,47.7,23.8,100.0,9.5,94.3,12.9,96.6,99.4,45.9,7.1,27.9,0.0
seeking-wisdom,6,153,73,80,47.7,25.0,100.0,25.0,83.3,23.3,97.3,100.0,32.5,50.0,100.0,0.0
competing-against-luck,10,251,121,130,48.2,23.3,98.3,21.7,100.0,25.0,99.2,73.6,59.3,10.0,24.0,0.0
make-time,5,128,62,66,48.4,26.7,100.0,6.7,96.0,32.0,99.2,96.8,33.7,40.0,100.0,80.0
peak,9,231,112,119,48.5,14.8,100.0,37.0,82.2,7.8,97.3,100.0,33.9,33.3,100.0,56.7
the-outsiders,9,228,111,117,48.7,11.1,100.0,9.3,95.6,14.4,93.8,82.7,58.5,66.7,16.7,0.0
extreme-ownership,13,330,166,164,50.3,26.9,100.0,32.1,87.7,10.8,96.9,98.5,35.6,61.5,100.0,0.0
antifragile,25,637,323,314,50.7,10.0,100.0,7.3,97.6,17.6,95.7,97.4,36.4,52.0,100.0,80.0
the-lean-startup,14,363,188,175,51.8,23.8,100.0,28.6,91.4,12.1,98.0,81.7,64.3,7.1,28.6,0.0
